purchase_weekday,orders,late_rate
Friday,9884,0.09469850263051396
Monday,10734,0.10014905906465436
Saturday,7593,0.08968787040695378
Sunday,8245,0.08380836870830806
Thursday,10005,0.08285857071464268
Tuesday,10729,0.09264609935688321
Wednesday,10339,0.08608182609536706
