split,model,average_precision,roc_auc,precision_late,recall_late,f1_late,balanced_accuracy,accuracy,threshold
validation,prior_baseline,0.053420870767104355,0.5,0.0,0.0,0.0,0.5,0.9465791292328957,0.5
validation,logistic_regression,0.14389800201174383,0.7571943072868621,0.18472727272727274,0.32858990944372574,0.23649906890130354,0.6233735850788753,0.8866620594333103,0.7899999999999999
test,prior_baseline,0.06613226452905811,0.5,0.0,0.0,0.0,0.5,0.9338677354709419,0.5
test,logistic_regression,0.1248526672553471,0.6920656916957051,0.10640394088669951,0.22570532915360503,0.14462671576832942,0.5457370807378207,0.823439983415106,0.7899999999999999
