distance_band,orders,late_rate
"(-0.001, 133.694]",13437,0.0501600059537099
"(133.694, 354.875]",13437,0.08275656768623949
"(354.875, 544.051]",13437,0.090124283694277
"(544.051, 886.405]",13437,0.10210612487906527
"(886.405, 8032.941]",13437,0.125697700379549
