seller_state_mode,orders,late_rate
RJ,2702,0.09844559585492228
SP,47772,0.09815373021853806
PR,5385,0.0765088207985144
ES,253,0.07509881422924901
SC,2589,0.06527616840478949
BA,409,0.06356968215158924
DF,587,0.06303236797274275
MG,5663,0.061981282006003884
PE,211,0.061611374407582936
MT,107,0.04672897196261682
RS,1287,0.042735042735042736
GO,302,0.039735099337748346
