average_precision,roc_auc,precision_late,recall_late,f1_late,balanced_accuracy,accuracy,threshold
0.14389800201174383,0.7571943072868621,0.18472727272727274,0.32858990944372574,0.23649906890130354,0.6233735850788753,0.8866620594333103,0.7899999999999999
0.14389800201174383,0.7571943072868621,0.19240297274979357,0.3014230271668823,0.23487903225806453,0.6150102651348758,0.8950932964754665,0.7999999999999999
0.14389800201174383,0.7571943072868621,0.17287917737789202,0.34799482535575677,0.23100042936882784,0.6270163219280791,0.8762266758811333,0.7799999999999999
0.14389800201174383,0.7571943072868621,0.16427340608845492,0.36998706338939197,0.22752585521081942,0.6318797111500511,0.8657912923289565,0.7699999999999999
0.14389800201174383,0.7571943072868621,0.15615305067218202,0.3906856403622251,0.2231252308828962,0.6357677307454697,0.8546648237733241,0.7599999999999999
0.14389800201174383,0.7571943072868621,0.1920849420849421,0.2574385510996119,0.22001105583195135,0.5981651396076288,0.9024879060124396,0.8099999999999999
0.14389800201174383,0.7571943072868621,0.14932337844143723,0.4139715394566624,0.2194787379972565,0.6404383505854532,0.8427090532135453,0.7499999999999999
0.14389800201174383,0.7571943072868621,0.13966910350134668,0.46959896507115134,0.21530249110320285,0.6531757693137022,0.8171389080856946,0.73
0.14389800201174383,0.7571943072868621,0.14267623469818488,0.4372574385510996,0.21514958625079567,0.6444883965771487,0.8295784381478922,0.74
0.14389800201174383,0.7571943072868621,0.13525730180806675,0.5032341526520052,0.21320909838311866,0.6608307727558778,0.8015894955079474,0.72
0.14389800201174383,0.7571943072868621,0.20045558086560364,0.2276843467011643,0.21320411871592973,0.5882161238506917,0.9102280580511403,0.82
0.14389800201174383,0.7571943072868621,0.12981228125994274,0.5278137128072445,0.2083758937691522,0.6640674755172968,0.7857636489288182,0.71
0.14389800201174383,0.7571943072868621,0.123335263462652,0.5510996119016818,0.20156139105748758,0.6650146522675526,0.7667588113337941,0.7
0.14389800201174383,0.7571943072868621,0.12099358974358974,0.5860284605433377,0.20057560327651097,0.6728784341119258,0.750449205252246,0.69
0.14389800201174383,0.7571943072868621,0.20463847203274216,0.19404915912031048,0.199203187250996,0.5757425469982803,0.9166551485832758,0.83
0.14389800201174383,0.7571943072868621,0.11722782010321947,0.6170763260025873,0.1970260223048327,0.6774145592924523,0.7313061506565307,0.6799999999999999
0.14389800201174383,0.7571943072868621,0.11445508435932512,0.6494178525226391,0.19461135879046326,0.6829260540995323,0.7128541810642709,0.6699999999999999
0.14389800201174383,0.7571943072868621,0.1100126209507783,0.6765847347994826,0.1892527591821965,0.6838424878640765,0.690324809951624,0.6599999999999999
